followers,following,bio_len,is_scam
1286,1114,24,0
3887,310,40,0
3656,3236,30,0
2112,2509,121,0
4321,3810,51,0
4039,3843,56,0
194,4888,153,1
951,2681,39,0
2492,2907,13,0
3528,3608,55,0
1367,4246,107,0
3760,4929,78,0
1767,4254,78,0
3221,75,115,0
2508,2833,39,0
1784,4662,73,0
3759,3518,125,0
1271,2536,85,0
1827,2489,143,0
1120,1792,114,0
896,4712,140,0
4435,1893,145,0
2584,4189,73,0
2651,1881,32,0
4605,4503,19,0
3693,1656,112,0
4417,3826,138,0
903,2235,52,0
2148,83,62,0
2879,2820,51,0
2803,2235,112,0
2453,4675,35,0
2375,2060,106,0
4716,1209,119,0
4451,3788,39,0
1488,3527,91,0
4968,4582,61,0
1074,4641,150,0
92,259,45,0
766,363,125,0
1940,4890,111,0
537,4744,122,0
3163,1275,18,0
3807,4494,129,0
4787,2654,88,0
3899,3547,46,0
4969,2341,59,0
1502,1442,131,0
513,1398,10,0
233,2732,64,1
4367,3519,48,0
300,2251,140,0
4772,3067,97,0
2854,3543,156,0
57,2178,40,1
2347,2734,72,0
2494,3778,126,0
1863,4459,75,0
3157,1423,36,0
4712,3797,83,0
4634,3681,82,0
3357,3753,22,0
1059,3425,46,0
3112,1154,146,0
772,4245,118,0
2851,236,33,0
4976,126,19,0
2317,1890,77,0
2030,579,139,0
268,3413,40,1
4246,2112,133,0
3362,1163,95,0
3733,1693,133,0
3608,2943,95,0
2589,2885,154,0
759,2083,12,0
2429,1073,94,0
920,1488,20,0
4374,2865,96,0
4615,2360,141,0
1702,3365,46,0
3973,4352,59,0
2324,418,19,0
919,267,78,0
4420,3026,116,0
1438,2167,67,0
4730,2356,134,0
4162,4068,98,0
970,2120,12,0
903,4545,80,0
4009,4057,151,0
1195,3476,82,0
1201,2442,88,0
1853,2930,119,0
2466,814,67,0
2421,2069,112,0
4631,4917,17,0
3432,2922,100,0
4265,3739,50,0
4599,3944,118,0
1863,554,126,0
2314,3253,22,0
4827,918,150,0
1267,895,31,0
3599,3870,143,0
2196,269,156,0
327,2182,154,0
797,2429,61,0
1633,3835,125,0
3505,2689,113,0
751,482,95,0
4417,1694,27,0
793,314,67,0
4589,3594,159,0
4030,2385,89,0
1470,381,71,0
3287,4429,57,0
2407,383,54,0
4769,4216,107,0
3443,4814,121,0
2038,2709,77,0
3771,1507,21,0
1810,2295,115,0
1242,2400,66,0
3404,1462,98,0
3146,3965,18,0
3521,179,84,0
2911,2313,93,0
4769,2312,118,0
2064,2350,61,0
3904,388,106,0
3634,3514,16,0
2003,3276,66,0
1836,2,91,0
4335,2678,40,0
4430,3736,134,0
4082,4928,116,0
3768,4055,56,0
2279,2558,96,0
1378,2056,22,0
3337,1835,134,0
1887,3519,15,0
548,4193,152,0
872,4989,60,0
3003,4468,50,0
1096,2473,38,0
3731,1434,89,0
3319,356,46,0
4978,1142,46,0
3565,1900,21,0
900,555,37,0
2110,232,133,0
4089,1548,24,0
1945,4893,12,0
4185,4836,137,0
2338,4641,95,0
2809,4564,129,0
3162,659,75,0
4334,4833,52,0
4491,2256,128,0
4389,1218,36,0
4513,4547,48,0
4692,3561,57,0
4275,968,71,0
4764,2436,140,0
4235,1023,61,0
4747,1364,120,0
2611,3111,148,0
1414,1400,108,0
2905,1268,14,0
3381,4487,121,0
2291,4599,110,0
2238,2508,130,0
4211,3099,37,0
2708,1370,82,0
2632,2900,19,0
2853,134,114,0
3360,4298,45,0
3338,817,98,0
2916,100,97,0
3656,4033,103,0
920,455,113,0
470,4886,43,1
4580,3701,77,0
1395,785,41,0
4910,288,17,0
2305,3253,129,0
4021,3771,148,0
45,1226,55,1
317,4993,128,1
2058,4737,155,0
4457,471,89,0
4594,1601,56,0
2244,4507,65,0
3401,1657,82,0
2633,1539,63,0
3615,2838,94,0
3599,640,70,0
4828,1240,150,0
988,1558,17,0
4396,1095,123,0
4823,1195,146,0
2800,4815,61,0
4635,390,47,0
2295,486,74,0
2713,4224,31,0
4577,4404,114,0
4044,2000,65,0
758,2018,36,0
107,458,131,0
2378,1593,30,0
4030,2064,46,0
151,4091,45,1
1472,1802,131,0
3063,1544,105,0
4550,1944,157,0
4299,278,31,0
2065,3919,146,0
1985,4300,22,0
3424,1258,29,0
346,2438,14,0
4054,4279,77,0
2332,4716,130,0
2469,1448,148,0
1938,3642,89,0
2653,3942,127,0
3529,3780,128,0
586,4332,135,0
3433,4570,149,0
1669,3888,45,0
3195,421,101,0
4245,4286,29,0
4369,1852,11,0
2816,3267,119,0
241,777,45,0
4268,3585,87,0
1471,1669,18,0
3112,1760,103,0
3685,995,14,0
234,318,22,0
3337,2643,148,0
1631,2991,63,0
2013,4120,86,0
1695,1734,18,0
1154,3629,48,0
4023,392,130,0
1504,4815,137,0
1761,4431,49,0
3732,3239,80,0
2288,1453,98,0
374,4358,53,1
4891,2055,33,0
1693,2102,16,0
731,574,92,0
3379,2317,140,0
2405,3204,139,0
4546,963,96,0
2286,2682,127,0
1538,1092,68,0
3108,711,89,0
1109,3246,107,0
2417,3949,57,0
1131,1919,26,0
3460,2382,102,0
767,1036,48,0
4560,1456,34,0
3185,2091,100,0
3616,1345,62,0
3444,3623,10,0
2892,1348,96,0
1103,987,111,0
3461,2328,83,0
1828,3959,103,0
3452,1691,43,0
3934,3236,144,0
2190,1537,109,0
4866,3521,148,0
277,4608,39,1
1055,4721,11,0
1288,1913,14,0
826,1071,108,0
3053,2468,80,0
4315,4892,11,0
4940,905,125,0
3241,2559,101,0
953,2420,139,0
2931,2744,110,0
1754,85,102,0
4175,4707,53,0
1331,862,139,0
3943,1711,104,0
738,3329,76,0
2876,3909,58,0
2306,3195,124,0
2021,2468,17,0
541,4391,139,0
388,1541,62,0
1369,4445,65,0
4193,3842,80,0
1341,2390,151,0
1800,1253,54,0
1657,1534,133,0
4769,4108,60,0
520,3985,114,0
392,1992,73,0
4990,1758,28,0
2443,2758,137,0
191,2670,58,1
471,946,42,0
2797,1131,59,0
633,3391,117,0
3359,3645,148,0
2163,4988,102,0
2459,4707,32,0
3041,1638,54,0
1874,2178,57,0
696,361,116,0
4630,3475,35,0
1365,1707,155,0
4942,2540,125,0
3041,2965,112,0
4013,4289,67,0
3242,3401,113,0
1107,431,53,0
4221,2092,130,0
325,1464,108,0
1188,1629,76,0
2910,3332,108,0
1384,920,18,0
941,2290,152,0
4832,891,132,0
3653,452,147,0
3052,1785,136,0
124,509,48,0
1623,1013,100,0
3429,1880,36,0
4293,206,11,0
780,4576,20,0
3506,4477,67,0
1881,1220,20,0
438,3472,85,0
2619,83,60,0
1846,4237,11,0
3596,3430,53,0
3000,2275,57,0
4673,1760,157,0
881,4459,34,0
1756,2014,113,0
1397,371,154,0
638,535,15,0
42,2390,69,1
4449,2539,111,0
3712,2095,104,0
2067,1784,117,0
1807,2329,31,0
1586,247,19,0
1291,3381,100,0
4060,4735,106,0
2779,3812,59,0
3493,4770,97,0
4805,2840,78,0
1645,2249,58,0
3570,1335,87,0
2628,3404,145,0
1088,4549,95,0
4440,4958,126,0
2626,3188,47,0
4438,1327,17,0
428,1355,148,0
4143,4662,41,0
3257,624,104,0
1870,817,25,0
3317,1114,30,0
2905,1585,93,0
2201,3601,26,0
380,3303,83,0
405,4978,30,1
2361,310,101,0
4698,2696,132,0
246,2000,144,0
2490,573,67,0
3366,1182,155,0
3972,386,98,0
3348,2777,158,0
1862,2966,63,0
4240,1887,157,0
2008,359,34,0
4562,2242,80,0
1759,702,118,0
705,860,26,0
993,680,15,0
4599,4480,19,0
2072,1139,77,0
662,1349,138,0
4165,4348,66,0
3173,956,90,0
2466,2809,146,0
3890,4759,150,0
2078,4097,53,0
2874,3788,159,0
2320,3594,17,0
3584,4913,82,0
1744,4108,144,0
538,3280,52,0
403,210,16,0
400,1983,121,0
4972,1398,17,0
2981,1353,105,0
1290,4017,109,0
3305,264,89,0
3266,4106,112,0
258,3844,155,1
1951,3570,30,0
238,4351,128,1
291,2426,83,0
3723,3563,100,0
4869,569,19,0
421,1408,109,0
4841,1917,148,0
4328,1975,42,0
2993,4639,120,0
4096,3415,114,0
1829,4084,56,0
616,1028,92,0
52,2832,136,1
541,3849,100,0
1759,4750,14,0
2304,4314,68,0
1899,3630,24,0
470,462,81,0
3932,3982,40,0
3170,2491,103,0
1011,2106,103,0
1906,2152,102,0
2396,501,52,0
15,2636,74,1
3827,4698,91,0
1588,3089,149,0
3512,3196,71,0
3797,3691,133,0
2165,2820,154,0
3062,1297,123,0
3270,1332,36,0
2004,3399,63,0
1027,16,23,0
3825,2489,65,0
1380,4521,104,0
4868,1672,52,0
3691,1880,93,0
1761,4106,152,0
3865,734,91,0
160,789,52,0
1368,2602,158,0
2562,4481,35,0
4799,3508,10,0
3748,1664,154,0
2198,1553,63,0
2861,4987,96,0
488,4146,135,0
508,4471,67,0
4376,1553,120,0
4116,1758,142,0
1435,960,29,0
4682,2742,145,0
2745,1193,72,0
3798,1059,52,0
3030,2717,45,0
3085,3746,107,0
3093,3252,11,0
1688,410,63,0
1960,4801,157,0
760,3315,125,0
1902,135,46,0
1465,2833,115,0
1696,4585,145,0
288,4320,156,1
2658,1799,34,0
1112,2041,110,0
4296,310,88,0
3424,2076,77,0
1619,2222,136,0
3921,2506,77,0
2022,389,72,0
379,4548,138,1
1838,1095,23,0
3049,4490,122,0
120,1509,106,1
1138,2096,56,0
3756,4324,30,0
1609,2305,109,0
1193,1394,109,0
1525,1496,85,0
4844,3126,67,0
1666,850,99,0
4785,275,11,0
3844,338,123,0
4192,864,75,0
2373,4504,70,0
4601,4941,120,0
3091,3620,20,0
1465,4826,128,0
2565,4904,93,0
4224,4806,94,0
2774,1361,105,0
1904,1045,133,0
2514,842,76,0
1251,1486,40,0
659,3418,107,0
1996,2364,51,0
3383,3165,43,0
1956,4635,29,0
3012,839,34,0
2385,3562,40,0
3700,4002,66,0
2936,975,104,0
4240,4108,155,0
1901,3162,40,0
2734,1384,39,0
2126,2921,35,0
4238,1733,112,0
3355,2059,78,0
2030,2876,152,0
4141,3663,59,0
2618,1168,64,0
3948,1246,116,0
980,2386,102,0
1495,296,22,0
982,1570,47,0
266,4960,146,1
2845,2920,28,0
3241,737,90,0
2688,446,103,0
2980,2333,108,0
2235,3258,58,0
1091,3370,77,0
2785,3629,123,0
4793,2506,41,0
4523,3992,84,0
4709,3590,84,0
1867,9,154,0
324,2240,60,0
1791,1141,11,0
733,4213,28,0
2828,2213,109,0
4350,179,118,0
1812,2777,19,0
1188,4964,29,0
1063,1236,139,0
1318,2949,48,0
3245,2096,53,0
1540,3661,19,0
3763,2678,93,0
2280,4025,81,0
4923,3726,157,0
3751,3476,43,0
2086,853,50,0
2671,2481,144,0
3581,2434,11,0
1745,2685,101,0
3572,700,139,0
4614,1382,126,0
1233,103,100,0
2605,3672,55,0
4711,4225,132,0
145,2190,157,1
4558,697,46,0
2664,3743,68,0
4066,4732,125,0
2782,1169,137,0
481,2470,105,0
3960,159,60,0
515,929,112,0
4882,3950,93,0
3496,4772,134,0
2244,3576,93,0
4009,3136,41,0
1367,2197,131,0
3609,2021,99,0
1860,2091,28,0
514,277,70,0
1683,2210,43,0
2483,4895,30,0
627,3166,31,0
4951,2786,109,0
3905,4384,52,0
2341,1185,115,0
925,3305,33,0
2186,124,108,0
2721,1969,122,0
950,3887,117,0
2942,2956,140,0
357,3048,150,0
